Sr.No,No_of_Bed,No_of_Bathroom,Area,Pets_allowed
702,3.0,2.0,,No
703,4.0,3.0,,No
704,1.0,1.0,612.0,No
705,3.0,2.0,1396.0,No
706,4.0,1.0,1800.0,Yes
707,3.0,3.5,2181.0,No
708,4.0,2.0,1582.0,No
709,4.0,3.0,1850.0,No
710,2.0,2.0,1123.0,No
711,4.0,3.0,,Yes
712,3.0,3.0,2200.0,No
713,2.0,2.0,1505.0,No
714,3.0,3.5,2566.0,No
715,2.0,2.0,,No
716,2.0,2.5,1527.0,No
717,,1.0,,No
718,2.0,1.0,,No
719,3.0,3.0,2187.0,No
720,3.0,3.0,2205.0,No
721,4.0,2.0,1897.0,No
722,1.0,1.0,,No
723,4.0,2.5,2789.0,No
724,2.0,2.0,1154.0,No
725,1.0,1.0,,No
726,2.0,2.0,1100.0,Yes
727,2.0,2.0,1175.0,No
728,3.0,2.0,1692.0,No
729,1.0,,1206.0,Yes
730,3.0,2.0,2414.0,No
731,2.0,1.0,1000.0,No
732,2.0,1.0,1246.0,No
733,4.0,2.5,2534.0,No
734,4.0,3.5,4232.0,No
735,2.0,1.0,907.0,No
736,1.0,1.0,,Yes
737,3.0,2.0,1596.0,No
738,2.0,1.5,1221.0,No
739,3.0,1.0,1062.0,No
740,3.0,2.0,1387.0,No
741,3.0,2.0,,No
742,3.0,2.0,1448.0,No
743,1.0,1.0,448.0,No
744,3.0,2.0,,No
745,2.0,2.0,1000.0,No
746,3.0,2.0,1584.0,No
747,3.0,2.0,,Yes
748,4.0,2.0,2136.0,No
749,4.0,4.0,2273.0,No
750,2.0,3.0,1412.0,No
751,2.0,1.5,1034.0,No
752,5.0,5.0,4557.0,No
753,1.0,1.0,638.0,No
754,3.0,2.5,2217.0,No
755,1.0,1.0,800.0,No
756,4.0,2.0,1975.0,No
757,3.0,2.5,2685.0,No
758,1.0,1.0,,Yes
759,3.0,2.0,1440.0,No
760,3.0,3.5,2944.0,No
761,1.0,1.0,579.0,No
762,2.0,1.0,715.0,No
763,1.0,1.0,,No
764,1.0,1.0,,No
765,2.0,2.5,1510.0,No
766,1.0,1.0,420.0,No
767,5.0,4.0,,No
768,1.0,2.0,,No
769,5.0,3.0,2597.0,Yes
770,1.0,1.0,,Yes
771,4.0,3.5,2836.0,Yes
772,4.0,3.5,2502.0,No
773,2.0,2.0,1460.0,No
774,3.0,2.5,2594.0,No
775,3.0,1.0,1249.0,No
776,3.0,2.0,1764.0,No
777,3.0,2.5,1892.0,No
778,2.0,2.0,1250.0,No
779,5.0,4.0,3565.0,No
780,1.0,1.0,,No
781,3.0,3.5,2009.0,No
782,4.0,3.0,2157.0,No
783,3.0,2.0,2018.0,No
784,4.0,4.5,3733.0,No
785,1.0,1.0,,No
786,2.0,2.0,,Yes
787,3.0,2.5,1950.0,No
788,1.0,1.0,,Yes
789,2.0,2.5,1590.0,No
790,5.0,2.5,2108.0,No
791,6.0,4.0,7600.0,No
792,1.0,1.0,300.0,No
793,2.0,2.0,1086.0,Yes
794,1.0,1.0,948.0,Yes
795,,,266.0,No
796,1.0,1.0,1000.0,No
797,2.0,2.0,979.0,Yes
798,2.0,1.0,900.0,No
799,5.0,2.5,1646.0,No
800,2.0,2.0,1300.0,Yes
801,1.0,1.0,725.0,No
802,2.0,1.0,776.0,No
803,3.0,1.5,1000.0,No
804,2.0,1.0,1000.0,No
805,,1.0,652.0,No
806,2.0,1.0,,No
807,3.0,1.0,,No
808,1.0,1.0,,Yes
809,2.0,1.0,700.0,No
810,3.0,1.0,1200.0,No
811,3.0,1.0,800.0,No
812,2.0,2.0,,No
813,3.0,1.0,,No
814,3.0,1.0,1000.0,Yes
815,2.0,2.0,,No
816,4.0,3.0,1800.0,No
817,1.0,1.0,750.0,No
818,,1.0,535.0,Yes
819,1.0,1.0,,Yes
820,2.0,1.0,700.0,Yes
821,2.0,2.0,1076.0,No
822,2.0,1.0,,No
823,3.0,1.0,,No
824,3.0,2.0,1100.0,No
825,3.0,1.0,,No
826,2.0,1.0,,No
827,2.0,2.0,1132.0,Yes
828,1.0,1.0,,No
829,4.0,2.0,1200.0,Yes
830,1.0,1.0,"Studio
1 bed
2 bed
3 bed
Show as List
On average, 1 bed apartments for rent in/near Indian Square, Jersey City, United States decreased by 3.4% over the month of January in 2024, hitting $2,282.",Yes
831,1.0,1.5,1000.0,No
832,1.0,1.0,526.0,No
833,3.0,2.0,1530.0,Yes
834,4.0,2.5,,No
835,2.0,1.5,982.0,No
836,2.0,1.5,903.0,No
837,,,,No
838,3.0,2.0,1200.0,No
839,3.0,1.5,949.0,No
840,3.0,1.5,,No
841,1.0,1.0,689.0,Yes
842,1.0,1.0,702.0,No
843,1.0,1.0,,No
844,1.0,1.0,,No
845,2.0,1.0,,No
846,,1.0,,No
847,1.0,1.0,600.0,Yes
848,2.0,2.5,1491.0,No
849,1.0,1.0,681.0,No
850,2.0,2.0,1070.0,Yes
851,3.0,2.0,1074.0,Yes
852,1.0,,,No
853,,1.0,325.0,No
854,1.0,1.0,803.0,No
855,2.0,1.0,,No
856,3.0,2.0,,No
857,1.0,1.0,645.0,No
858,2.0,1.0,,No
859,1.0,1.0,738.0,Yes
860,2.0,1.0,,No
861,2.0,1.0,925.0,No
862,1.0,1.0,767.0,No
863,3.0,2.0,,No
864,4.0,2.0,1200.0,No
